iter	Passed	Remaining
0	64	64190
1	66	32979
2	67	22573
3	69	17330
4	70	14076
5	71	11892
6	72	10306
7	73	9137
8	74	8240
9	76	7619
10	78	7057
11	79	6547
12	80	6099
13	81	5729
14	82	5408
15	83	5108
16	83	4844
17	84	4602
18	84	4388
19	85	4192
20	86	4018
21	88	3927
22	88	3779
23	89	3642
24	90	3515
25	90	3396
26	91	3297
27	92	3212
28	93	3136
29	94	3045
30	94	2958
31	95	2877
32	95	2801
33	96	2728
34	96	2659
35	96	2594
36	97	2534
37	97	2475
38	98	2419
39	98	2371
40	99	2326
41	99	2279
42	100	2234
43	100	2191
44	101	2149
45	101	2109
46	102	2069
47	102	2032
48	102	1996
49	103	1963
50	103	1930
51	104	1899
52	104	1869
53	106	1866
54	107	1846
55	107	1820
56	108	1793
57	108	1768
58	109	1745
59	110	1724
60	110	1700
61	110	1678
62	111	1656
63	111	1635
64	112	1620
65	113	1600
66	113	1581
67	114	1562
68	114	1544
69	114	1526
70	115	1509
71	116	1504
72	117	1487
73	117	1470
74	118	1455
75	118	1442
76	119	1427
77	119	1412
78	119	1397
79	121	1396
80	121	1382
81	122	1368
82	122	1353
83	122	1340
84	123	1328
85	123	1315
86	124	1303
87	124	1291
88	125	1280
89	125	1268
90	125	1257
91	126	1247
92	126	1237
93	127	1227
94	127	1217
95	128	1207
96	128	1197
97	129	1187
98	129	1178
99	129	1169
100	130	1161
101	130	1152
102	131	1144
103	132	1137
104	132	1129
105	133	1124
106	133	1116
107	134	1107
108	134	1099
109	134	1092
110	135	1084
111	135	1076
112	136	1069
113	136	1062
114	137	1054
115	137	1047
116	137	1039
117	138	1034
118	138	1028
119	139	1022
120	139	1016
121	140	1009
122	140	1002
123	141	996
124	141	990
125	141	984
126	142	977
127	142	972
128	143	966
129	143	960
130	143	955
131	144	949
132	145	946
133	145	940
134	145	934
135	146	929
136	146	924
137	147	919
138	147	914
139	147	908
140	148	903
141	148	898
142	149	893
143	149	888
144	149	884
145	150	879
146	151	876
147	151	871
148	151	866
149	152	862
150	152	858
151	153	854
152	153	849
153	153	845
154	154	841
155	154	837
156	155	833
157	155	829
158	156	826
159	156	822
160	156	817
161	157	813
162	158	812
163	158	808
164	159	804
165	159	801
166	159	797
167	160	793
168	160	790
169	161	786
170	161	782
171	162	780
172	162	776
173	163	774
174	163	771
175	164	768
176	164	764
177	164	761
178	165	758
179	165	755
180	166	752
181	166	749
182	167	746
183	167	743
184	168	740
185	168	737
186	168	734
187	169	730
188	169	727
189	170	724
190	170	722
191	170	719
192	171	716
193	171	714
194	172	711
195	172	708
196	173	705
197	173	703
198	173	700
199	174	699
200	175	697
201	175	694
202	176	691
203	176	689
204	177	686
205	177	684
206	177	681
207	178	678
208	178	676
209	179	674
210	179	671
211	180	669
212	180	666
213	180	664
214	181	662
215	181	660
216	182	657
217	182	655
218	183	653
219	183	650
220	183	648
221	184	646
222	184	644
223	185	642
224	186	643
225	187	642
226	188	640
227	188	638
228	188	635
229	189	633
230	189	631
231	190	629
232	190	627
233	190	625
234	191	622
235	191	620
236	192	618
237	192	616
238	193	614
239	193	612
240	193	610
241	194	608
242	194	606
243	195	604
244	195	602
245	196	600
246	196	598
247	196	596
248	197	594
249	197	592
250	198	590
251	198	589
252	199	588
253	199	586
254	200	584
255	200	582
256	200	580
257	201	578
258	201	577
259	202	575
260	202	573
261	203	571
262	203	570
263	204	569
264	204	567
265	205	566
266	205	564
267	206	562
268	206	561
269	206	559
270	207	557
271	207	556
272	208	554
273	208	552
274	209	551
275	209	549
276	209	547
277	210	546
278	210	545
279	211	543
280	211	542
281	212	540
282	212	539
283	213	537
284	214	537
285	214	535
286	214	534
287	215	532
288	215	531
289	216	529
290	216	528
291	217	526
292	217	525
293	218	524
294	218	522
295	219	521
296	219	519
297	219	518
298	220	516
299	220	515
300	221	513
301	221	512
302	222	510
303	222	509
304	222	508
305	224	508
306	224	507
307	225	506
308	225	504
309	226	503
310	226	501
311	226	500
312	227	499
313	228	498
314	228	497
315	229	496
316	230	496
317	230	494
318	231	493
319	231	492
320	232	490
321	232	489
322	232	488
323	233	486
324	233	485
325	234	484
326	234	483
327	235	481
328	235	480
329	236	479
330	236	477
331	236	476
332	237	475
333	237	473
334	238	472
335	238	471
336	238	469
337	239	468
338	239	467
339	240	466
340	240	464
341	241	463
342	241	462
343	241	461
344	243	462
345	244	461
346	244	460
347	245	459
348	245	458
349	245	456
350	246	455
351	246	454
352	247	453
353	247	451
354	247	450
355	248	449
356	249	448
357	249	447
358	250	446
359	250	445
360	250	444
361	251	443
362	251	441
363	252	440
364	252	439
365	253	438
366	253	437
367	254	436
368	254	435
369	255	434
370	255	433
371	255	432
372	256	430
373	256	429
374	257	428
375	257	427
376	258	427
377	258	425
378	259	424
379	259	423
380	260	423
381	261	422
382	261	421
383	262	420
384	262	419
385	262	418
386	263	416
387	263	415
388	264	414
389	264	413
390	264	412
391	265	411
392	265	410
393	266	409
394	266	408
395	266	407
396	267	406
397	267	405
398	268	404
399	268	402
400	269	401
401	269	400
402	269	399
403	270	398
404	270	397
405	270	396
406	271	395
407	271	394
408	272	393
409	272	392
410	274	393
411	277	395
412	277	394
413	278	393
414	278	392
415	279	391
416	279	391
417	280	390
418	280	389
419	280	387
420	281	386
421	281	385
422	282	384
423	282	383
424	283	382
425	283	381
426	284	381
427	284	380
428	284	379
429	285	378
430	287	379
431	288	379
432	289	378
433	289	377
434	289	376
435	290	375
436	290	374
437	291	373
438	291	372
439	292	371
440	292	371
441	293	370
442	293	369
443	293	368
444	294	367
445	294	366
446	295	365
447	295	364
448	296	363
449	296	362
450	297	361
451	297	360
452	298	359
453	298	358
454	298	358
455	299	357
456	299	356
457	300	355
458	300	354
459	301	353
460	302	353
461	303	353
462	303	352
463	304	351
464	304	350
465	305	349
466	305	348
467	305	347
468	306	346
469	306	345
470	307	344
471	307	344
472	307	343
473	308	342
474	308	341
475	309	340
476	309	339
477	310	338
478	310	337
479	311	337
480	311	336
481	311	335
482	312	334
483	312	333
484	313	332
485	313	331
486	314	330
487	314	330
488	315	329
489	315	328
490	316	327
491	316	327
492	318	327
493	318	326
494	319	325
495	319	324
496	320	324
497	320	323
498	320	322
499	321	321
500	321	320
501	322	319
502	322	318
503	323	318
504	324	317
505	324	317
506	325	316
507	325	315
508	326	315
509	327	314
510	327	313
511	327	312
512	330	313
513	330	312
514	331	311
515	331	311
516	332	310
517	332	309
518	332	308
519	333	307
520	333	306
521	334	306
522	334	305
523	334	304
524	335	303
525	335	302
526	336	301
527	336	301
528	338	300
529	338	300
530	338	299
531	339	298
532	339	297
533	340	296
534	340	295
535	340	295
536	341	294
537	342	293
538	343	293
539	343	292
540	344	291
541	344	291
542	344	290
543	345	289
544	345	288
545	346	287
546	346	287
547	347	286
548	347	285
549	348	284
550	348	284
551	349	283
552	350	282
553	350	282
554	350	281
555	351	280
556	351	279
557	352	279
558	352	278
559	353	277
560	353	276
561	353	275
562	354	275
563	354	274
564	355	273
565	355	272
566	356	272
567	356	271
568	357	270
569	357	269
570	358	269
571	358	268
572	359	267
573	359	266
574	361	266
575	361	266
576	362	265
577	362	264
578	363	264
579	363	263
580	364	262
581	364	261
582	365	261
583	365	260
584	366	259
585	366	258
586	366	258
587	369	258
588	369	258
589	370	257
590	370	256
591	371	255
592	371	255
593	372	254
594	372	253
595	373	253
596	373	252
597	374	251
598	374	250
599	375	250
600	376	249
601	376	248
602	376	248
603	377	247
604	377	246
605	378	245
606	378	245
607	379	244
608	379	243
609	380	243
610	381	242
611	381	242
612	382	241
613	382	240
614	383	239
615	383	239
616	384	238
617	384	237
618	385	237
619	385	236
620	386	235
621	386	234
622	387	234
623	387	233
624	388	232
625	388	232
626	389	231
627	389	230
628	390	230
629	390	229
630	391	228
631	391	228
632	391	227
633	392	226
634	393	225
635	393	225
636	394	224
637	394	223
638	395	223
639	395	222
640	395	221
641	396	221
642	396	220
643	397	219
644	397	218
645	398	218
646	398	217
647	399	216
648	399	216
649	400	215
650	400	214
651	400	213
652	401	213
653	401	212
654	402	211
655	402	211
656	403	210
657	403	209
658	405	209
659	405	208
660	406	208
661	406	207
662	406	206
663	407	206
664	407	205
665	408	204
666	408	204
667	409	203
668	409	202
669	410	201
670	410	201
671	410	200
672	411	199
673	411	199
674	412	198
675	412	197
676	413	197
677	413	196
678	413	195
679	414	195
680	414	194
681	415	193
682	415	192
683	416	192
684	416	191
685	417	190
686	417	190
687	418	189
688	418	188
689	418	188
690	419	187
691	419	186
692	420	186
693	420	185
694	420	184
695	421	183
696	421	183
697	421	182
698	422	181
699	422	181
700	422	180
701	423	179
702	423	179
703	424	178
704	424	177
705	424	176
706	425	176
707	425	175
708	425	174
709	426	174
710	426	173
711	427	172
712	427	172
713	427	171
714	428	170
715	428	169
716	428	169
717	429	168
718	429	167
719	430	167
720	430	166
721	430	165
722	431	165
723	431	164
724	432	163
725	432	163
726	433	162
727	433	162
728	434	161
729	434	160
730	434	160
731	435	159
732	435	158
733	436	158
734	436	157
735	437	156
736	437	156
737	437	155
738	438	154
739	438	154
740	439	153
741	439	152
742	440	152
743	440	151
744	441	150
745	441	150
746	441	149
747	442	149
748	442	148
749	443	147
750	443	147
751	444	146
752	444	145
753	445	145
754	445	144
755	446	143
756	446	143
757	446	142
758	447	142
759	447	141
760	448	140
761	448	140
762	449	139
763	449	138
764	450	138
765	450	137
766	450	136
767	451	136
768	451	135
769	452	135
770	452	134
771	453	133
772	453	133
773	454	132
774	454	131
775	455	131
776	455	130
777	455	130
778	456	129
779	457	128
780	457	128
781	458	127
782	458	127
783	459	126
784	459	125
785	460	125
786	460	124
787	461	124
788	461	123
789	462	122
790	462	122
791	462	121
792	463	120
793	463	120
794	464	119
795	464	119
796	465	118
797	465	117
798	466	117
799	466	116
800	466	116
801	467	115
802	467	114
803	468	114
804	468	113
805	469	112
806	469	112
807	470	111
808	470	111
809	470	110
810	471	109
811	471	109
812	472	108
813	472	108
814	473	107
815	473	106
816	474	106
817	474	105
818	474	104
819	475	104
820	475	103
821	476	103
822	476	102
823	477	101
824	477	101
825	477	100
826	478	100
827	478	99
828	479	98
829	479	98
830	480	97
831	480	97
832	480	96
833	481	95
834	481	95
835	482	94
836	483	94
837	483	93
838	484	92
839	484	92
840	484	91
841	485	91
842	485	90
843	486	89
844	486	89
845	487	88
846	487	88
847	487	87
848	488	86
849	488	86
850	489	85
851	489	85
852	490	84
853	490	83
854	490	83
855	491	82
856	491	82
857	492	81
858	492	80
859	493	80
860	493	79
861	494	79
862	494	78
863	495	77
864	495	77
865	495	76
866	496	76
867	496	75
868	497	74
869	497	74
870	498	73
871	498	73
872	499	72
873	499	72
874	500	71
875	500	70
876	501	70
877	501	69
878	501	69
879	502	68
880	502	67
881	503	67
882	503	66
883	504	66
884	504	65
885	505	65
886	505	64
887	506	63
888	506	63
889	507	62
890	507	62
891	508	61
892	508	60
893	509	60
894	509	59
895	509	59
896	510	58
897	510	58
898	511	57
899	511	56
900	512	56
901	512	55
902	513	55
903	513	54
904	514	53
905	514	53
906	514	52
907	515	52
908	516	51
909	516	51
910	516	50
911	517	49
912	517	49
913	518	48
914	518	48
915	519	47
916	519	47
917	520	46
918	520	45
919	520	45
920	521	44
921	521	44
922	522	43
923	522	42
924	523	42
925	523	41
926	524	41
927	524	40
928	524	40
929	525	39
930	525	38
931	526	38
932	526	37
933	527	37
934	527	36
935	528	36
936	528	35
937	528	34
938	529	34
939	529	33
940	530	33
941	530	32
942	531	32
943	531	31
944	532	30
945	532	30
946	533	29
947	533	29
948	533	28
949	534	28
950	534	27
951	535	26
952	535	26
953	536	25
954	536	25
955	537	24
956	537	24
957	537	23
958	538	23
959	538	22
960	539	21
961	539	21
962	540	20
963	540	20
964	541	19
965	541	19
966	542	18
967	542	17
968	542	17
969	543	16
970	543	16
971	544	15
972	544	15
973	545	14
974	545	13
975	546	13
976	546	12
977	547	12
978	547	11
979	548	11
980	548	10
981	548	10
982	549	9
983	549	8
984	550	8
985	550	7
986	551	7
987	551	6
988	552	6
989	552	5
990	553	5
991	553	4
992	553	3
993	554	3
994	554	2
995	555	2
996	555	1
997	556	1
998	556	0
999	557	0
