iter	Passed	Remaining
0	53	53524
1	54	26961
2	54	18105
3	54	13667
4	55	11010
5	55	9244
6	56	7978
7	56	7025
8	57	6341
9	58	5766
10	58	5282
11	59	4880
12	59	4534
13	60	4235
14	60	3974
15	61	3760
16	61	3563
17	62	3387
18	62	3227
19	62	3085
20	63	2956
21	64	2848
22	64	2742
23	65	2644
24	65	2552
25	67	2522
26	67	2445
27	68	2377
28	68	2308
29	69	2242
30	70	2205
31	71	2157
32	71	2103
33	72	2051
34	72	2002
35	73	1956
36	73	1913
37	73	1872
38	74	1832
39	74	1794
40	75	1758
41	75	1724
42	76	1703
43	77	1673
44	77	1647
45	78	1622
46	78	1593
47	79	1567
48	79	1541
49	79	1518
50	80	1494
51	80	1475
52	81	1454
53	81	1433
54	82	1412
55	82	1393
56	83	1373
57	83	1355
58	83	1337
59	84	1321
60	84	1304
61	85	1288
62	85	1272
63	85	1257
64	86	1243
65	86	1229
66	87	1215
67	87	1202
68	88	1188
69	88	1176
70	88	1163
71	89	1152
72	89	1140
73	90	1129
74	90	1120
75	91	1111
76	91	1101
77	92	1091
78	92	1081
79	93	1073
80	93	1063
81	94	1054
82	94	1043
83	94	1033
84	95	1025
85	95	1016
86	96	1008
87	96	1000
88	96	991
89	97	984
90	97	976
91	98	969
92	98	961
93	99	961
94	100	954
95	100	947
96	101	940
97	101	933
98	101	927
99	102	920
100	102	914
101	103	908
102	103	901
103	104	903
104	105	898
105	107	902
106	107	896
107	107	891
108	108	885
109	108	879
110	109	873
111	109	868
112	109	863
113	110	857
114	110	852
115	111	847
116	111	841
117	111	836
118	112	831
119	112	826
120	113	822
121	113	816
122	113	812
123	114	807
124	114	803
125	115	799
126	115	794
127	115	789
128	116	785
129	116	781
130	117	777
131	117	773
132	117	768
133	118	765
134	120	769
135	120	765
136	120	761
137	121	757
138	121	753
139	122	750
140	122	746
141	122	742
142	123	738
143	123	735
144	124	731
145	124	728
146	124	725
147	125	721
148	125	718
149	126	715
150	126	711
151	127	709
152	127	706
153	127	702
154	128	699
155	128	696
156	129	693
157	129	690
158	130	687
159	130	684
160	130	680
161	131	678
162	131	675
163	131	672
164	132	669
165	132	667
166	133	664
167	133	662
168	134	660
169	134	658
170	135	656
171	135	653
172	136	651
173	136	648
174	137	646
175	137	644
176	138	641
177	138	639
178	138	636
179	139	634
180	139	632
181	140	629
182	140	627
183	140	625
184	141	622
185	141	620
186	142	618
187	142	615
188	142	613
189	143	611
190	143	609
191	144	607
192	144	605
193	145	603
194	145	600
195	145	598
196	146	596
197	146	594
198	147	592
199	147	590
200	149	594
201	150	592
202	150	590
203	150	588
204	151	586
205	151	584
206	152	582
207	152	581
208	153	579
209	153	577
210	153	575
211	154	573
212	154	571
213	155	570
214	155	568
215	156	566
216	156	564
217	156	562
218	157	560
219	157	558
220	158	557
221	158	555
222	158	553
223	159	551
224	159	550
225	160	548
226	160	546
227	161	545
228	161	543
229	162	542
230	162	540
231	162	539
232	163	538
233	164	537
234	164	537
235	165	535
236	165	533
237	166	533
238	166	531
239	167	530
240	167	528
241	168	527
242	168	525
243	169	524
244	169	522
245	169	521
246	170	519
247	170	517
248	171	516
249	171	514
250	172	513
251	172	511
252	172	510
253	173	508
254	173	507
255	174	506
256	174	505
257	175	503
258	175	502
259	176	501
260	176	499
261	176	498
262	177	496
263	178	497
264	179	496
265	179	496
266	180	495
267	180	493
268	181	492
269	181	490
270	181	489
271	182	487
272	182	486
273	182	484
274	183	483
275	183	481
276	184	480
277	184	479
278	184	477
279	185	476
280	185	475
281	186	473
282	186	472
283	186	470
284	187	469
285	187	468
286	187	466
287	188	465
288	188	464
289	189	463
290	189	461
291	189	460
292	190	459
293	190	458
294	191	456
295	191	455
296	191	454
297	192	453
298	192	451
299	193	450
300	194	451
301	195	450
302	195	449
303	195	448
304	196	447
305	196	446
306	197	445
307	197	443
308	198	442
309	198	441
310	198	440
311	199	439
312	199	438
313	200	437
314	200	436
315	201	435
316	201	434
317	202	433
318	202	432
319	203	431
320	203	430
321	203	429
322	204	428
323	204	427
324	205	426
325	205	425
326	205	423
327	206	422
328	206	421
329	207	420
330	207	419
331	208	418
332	208	417
333	208	416
334	209	415
335	209	414
336	210	414
337	210	412
338	211	412
339	211	411
340	212	409
341	212	408
342	213	408
343	213	406
344	213	405
345	214	404
346	214	403
347	215	402
348	215	401
349	215	400
350	216	399
351	216	398
352	217	397
353	217	396
354	217	395
355	218	394
